的	个
的確	的確
這	箇
這裡	箇墶
這裏	箇墶
這兒	箇墶
這點	箇眼
這麼	介
這麽	介
這麼說	箇恁介講
這麽說	箇恁介講
那裏	埃面墶
那裡	埃面墶
那兒	埃面墶
哪裡	何裏墶
哪裏	何裏墶
哪兒	何裏墶
在	垃
與	搭
和	搭
不	勿
不要	覅
給	畀
被	畀
被子	被頭
被動	被動
太	忒
太大	忒大
太太	太太
亞太	亞太
都	全
知道	曉得
以及	搭仔
而且	外加
并且	外加
如何	哪恁
假如	假使
比如	譬如
例如	譬如
說	講
什麼	啥
什麽	啥
甚麼	啥
甚麽	啥
為何	爲啥
為	爲
沒有	嘸沒
有沒有	有勿有
沒	嘸沒
嘸沒	嘸沒
沒法	嘸沒辦法
你	儂
妳	儂
你爸	㑚爺
你媽	㑚姆媽
你爸媽	㑚爺娘
你父母	㑚爺娘
父母	爺娘
你們	㑚
我們	阿拉
他	伊
其他	其他
他們	伊拉
她們	伊拉
它們	伊拉
自己	自家
些	眼
看起來	看上去
去年	舊年仔
迅速	馬上
本月	本個號頭
使得	讓
認為	覺着
誰	啥人
上午	上半日
下午	下半日
週一	禮拜一
週二	禮拜兩
週三	禮拜三
週四	禮拜四
週五	禮拜五
週六	禮拜六
週日	禮拜天
上週	上個禮拜
星期	禮拜
二十	廿
他日	他日
被窩	被窩
被套	被套
被頭	被頭
被褥	被褥
被單	被單
花被	花被頭
花被子	花被頭
蓋被	蓋被頭
蓋被子	蓋被頭
墊被	墊被
單被	單被
頭上	頭高頭
接下來	挨下來
時候	辰光
現在	現在
時間	辰光
您	儂
是否	是勿是
嗎	否
知道	曉得
今天	今朝
今日	今朝
明天	明朝
一起	一道
下雨	落雨
下雪	落雪
吃	喫
喝	喫
別在	覅垃
身上	身高頭
了。	哉。
不知	勿曉得
能做	好做
不能做	勿好做
能不能	好勿好
潛在	潛在
件事	樁事體
件事情	樁事體
有時	有个辰光
時，	个辰光，
也許	作興
和解释	搭解释
和解決	搭解決
會	會得
會不會	會勿會
什麼事	啥事體
什麽事	啥事體
甚麼事	啥事體
甚麽事	啥事體
不能	勿好
把	拿
實在	實在
一生中	一生當中
最後	垃末
喜歡	歡喜
累	喫力
疲倦	衰瘏
太祖	太祖
太極	太極
朝前	朝前頭
朝後	朝後頭
她	伊
怎	哪恁
怎麽	哪恁
怎麼	哪恁
怎麽行	哪恁來事
怎麼行	哪恁來事
怎樣	哪恁
怎麽樣	哪恁
怎麼樣	哪恁
事情	事體
的事	个事體
這樣	箇恁介
不行	勿來事
媽媽	姆媽
酒吧	酒吧
咖吧	咖吧
吧	𠳝
好吧	好个
那	箇
在那	垃埃面墶
那個	埃個
哪	何裏
害怕	嚇
全行	全來事
都行	全來事
呢	呐
哪怕	就算
掉	脫
一剎那
	一記頭
等會兒	等脫歇
等一會兒	等脫一歇
有事	有事體
一會兒	一歇
睡	睏
吃完	喫光
喝完	喫光
聽完	聽光
的話	个言話
話説回來	言話講轉來
如果	假使
認識	認得
那麽	介
那麼	介
那麽我	箇末我
那麼我	箇末我
那麽你	箇末儂
那麼你	箇末儂
那麽他	箇末伊
那麼他	箇末伊
那麽她	箇末伊
那麼她	箇末伊
那麽妳	箇末儂
那麼妳	箇末儂
那麽，	箇末，
那麼，	箇末，
這下可好了	乃末好哉
這下可完了	乃末完結
這下	乃末
丟臉	坍臺
丟臉丟	坍臺坍
玉米	珍珠米
茄子	落蘇
平時	平常
事？	事體？
丟	厾
它	伊
筆錢	筆銅鈿
多少	幾許
許多	交關
以前	之前
基本上	基本丄向
早上	早丄向
中午	中丄向
晚上	夜到
除了	除脫
玩	孛相
肚子	肚皮
家人	屋裏向人
非常	邪氣
吃喝玩樂	喫喫孛相相
玩玩	孛相相
玩具	孛相杆
玩樂	玩樂
小孩	小囡
小孩子	小囡
孩子	小人
似的	一樣
可憐	罪過
遊玩	孛相
太陽	太陽
找	尋
找尋	尋
殺死	殺脫
突然	垃末生頭
金錢	銅鈿
眼前	眼面前
上，	高頭，
